TaxID,Name,Pathogenic associations
46125,Abiothrophia defectiva,"Эндофтальмиты, абсцессы мозга, остеомиелиты, перитониты, эндокардиты"
146475,Acetobacter cibinongensis,Бактериемия
217204,Achromobacter insolitus,"Септицемия, инфекции ассоциированные с перитонеальным диализом, пневмонии, инфекции уха, легочные инфекции у лиц с муковисцидозом, кератиты"
1287735,Achromobacter insuavis,Редкий
470868,Achromobacter marplatensis,Редкий
1389922,Achromobacter mucicolens,Редкий
72556,Achromobacter piechaudii,"Септицемия, инфекции ассоциированные с перитонеальным диализом, пневмонии, инфекции уха, легочные инфекции у лиц с муковисцидозом, кератиты"
1389932,Achromobacter pulmonis,Редкий
72557,Achromobacter ruhlandii,"Септицемия, инфекции ассоциированные с перитонеальным диализом, пневмонии, инфекции уха, легочные инфекции у лиц с муковисцидозом, кератиты"
217203,Achromobacter spanius,"Септицемия, инфекции ассоциированные с перитонеальным диализом, пневмонии, инфекции уха, легочные инфекции у лиц с муковисцидозом, кератиты"
85698,Achromobacter xylosoxidans,"Септицемия, инфекции ассоциированные с перитонеальным диализом, пневмонии, инфекции уха, легочные инфекции у лиц с муковисцидозом, кератиты"
905,Acidaminococcus fermentans,"Абсцессы, постоперативные инфекции"
437,Acidomonas methanolica,Редкий
80867,Acidovorax avenae,"Раневые инфекции, инфекции уретрального тракта, бактериемия, менингиты, септические артриты"
47920,Acidovorax delafieldii,"Раневые инфекции, инфекции уретрального тракта, бактериемия, менингиты, септические артриты"
12917,Acidovorax facilis,"Раневые инфекции, инфекции уретрального тракта, бактериемия, менингиты, септические артриты"
862720,Acidovorax oryzae,"Раневые инфекции, инфекции уретрального тракта, бактериемия, менингиты, септические артриты"
80878,Acidovorax temperans,"Раневые инфекции, инфекции уретрального тракта, бактериемия, менингиты, септические артриты"
470,Acinetobacter baumannii,"ESKAPE. Септицемия, инфекции уретрального тракта, абсцессы, эндокардиты, менингиты, остеомиелиты. Нозокомиальные вспышки. У ослабленных пациентов"
202950,Acinetobacter baylyi,"Септицемия, инфекции уретрального тракта, абсцессы, эндокардиты, менингиты, остеомиелиты. Нозокомиальные вспышки. У ослабленных пациентов"
262668,Acinetobacter beijerinckii,"Септицемия, инфекции уретрального тракта, абсцессы, эндокардиты, менингиты, остеомиелиты. Нозокомиальные вспышки. У ослабленных пациентов"
106648,Acinetobacter bereziniae,"Септицемия, инфекции уретрального тракта, абсцессы, эндокардиты, менингиты, остеомиелиты. Нозокомиальные вспышки. У ослабленных пациентов"
