Taxon,Zoonotic
Chlamydia psittaci,Zoonotic
Francisella tularensis,Zoonotic
Coxiella burnetii,Zoonotic
Bacillus anthracis,Zoonotic
Yersinia enterocolitica,Zoonotic
Mycobacterium bovis,Zoonotic
Yersinia pseudotuberculosis,Zoonotic
Mycobacterium avium,Zoonotic
Pasteurella multocida,Zoonotic
Aeromonas hydrophila,Zoonotic
Clostridium botulinum,Zoonotic
Escherichia coli,Zoonotic
Erysipelothrix rhusiopathiae,Zoonotic
Aeromonas salmonicida,Zoonotic
Yersinia pestis,Zoonotic
Edwardsiella tarda,Zoonotic
Clostridium perfringens,Zoonotic
Leptospira interrogans,Zoonotic
Salmonella enterica subsp. enterica,Zoonotic
Staphylococcus aureus,Zoonotic
Pseudomonas aeruginosa,Zoonotic
Anaplasma phagocytophilum,Zoonotic
Listeria monocytogenes,Zoonotic
Borreliella burgdorferi,Zoonotic
Campylobacter jejuni,Zoonotic
Mycoplasma gallisepticum,Not zoonotic
Burkholderia pseudomallei,Zoonotic
Rickettsia rickettsii,Zoonotic
Mycobacterium marinum,Zoonotic
Salmonella enterica subsp. diarizonae,Zoonotic
Trueperella pyogenes,Zoonotic
 Clostridium   piliforme,Zoonotic
Yersinia intermedia,Zoonotic
Mycobacterium tuberculosis,Zoonotic
Streptococcus iniae,Zoonotic
Flavobacterium psychrophilum,Not zoonotic
Dermatophilus congolensis,Zoonotic
Brucella abortus,Zoonotic
Streptococcus agalactiae,Zoonotic
Tenacibaculum maritimum,Not zoonotic
Streptococcus dysgalactiae,Zoonotic
Yersinia frederiksenii,Zoonotic
Bordetella bronchiseptica,Zoonotic
Chlamydia abortus,Zoonotic
Citrobacter freundii,Zoonotic
Mycobacterium genavense,Zoonotic
Corynebacterium pseudotuberculosis,Zoonotic
Mycobacterium chelonae,Zoonotic
Nocardia seriolae,Not zoonotic
Photobacterium damselae,Zoonotic
Salmonella enterica subsp. arizonae,Zoonotic
Vibrio harveyi,Zoonotic
Corynebacterium ulcerans,Zoonotic
Mycobacterium kansasii,Zoonotic
Ornithobacterium rhinotracheale,Not zoonotic
Rhodococcus equi,Zoonotic
Vibrio anguillarum,Not zoonotic
Yersinia kristensenii,Zoonotic
Clostridioides difficile,Zoonotic
Clostridium tetani,Zoonotic
Fusobacterium necrophorum,Zoonotic
Mycobacterium fortuitum,Zoonotic
Nocardia asteroides,Zoonotic
Streptococcus equi,Zoonotic
Anaplasma bovis,Not zoonotic
Pasteurella pneumotropica,Zoonotic
Pseudomonas anguilliseptica,Not zoonotic
Staphylococcus sciuri,Zoonotic
Aeromonas sobria,Zoonotic
Chlamydia pneumoniae,Zoonotic
Flavobacterium columnare,Not zoonotic
Chromobacterium violaceum,Zoonotic
Mycobacterium microti,Zoonotic
Plesiomonas shigelloides,Zoonotic
Bordetella avium,Zoonotic
Ehrlichia ruminantium,Not zoonotic
Leptospira borgpetersenii,Zoonotic
Leptospira kirschneri,Zoonotic
Neorickettsia helminthoeca,Not zoonotic
Stenotrophomonas maltophilia,Zoonotic
Yersinia ruckeri,Zoonotic
Anaplasma marginale,Not zoonotic
Clostridium septicum,Zoonotic
Edwardsiella ictaluri,Not zoonotic
Escherichia albertii,Zoonotic
Lactococcus garvieae,Zoonotic
Shigella flexneri,Zoonotic
Actinobacillus equuli,Zoonotic
Aeromonas caviae,Zoonotic
Brachyspira pilosicoli,Zoonotic
Brucella melitensis,Zoonotic
Mycobacterium caprae,Zoonotic
Mycobacterium ulcerans,Zoonotic
Streptobacillus moniliformis,Zoonotic
Acinetobacter baumannii,Zoonotic
Arcanobacterium phocae,Not zoonotic
Bartonella grahamii,Zoonotic
Bartonella henselae,Zoonotic
Bartonella washoensis,Zoonotic
Borreliella afzelii,Zoonotic
Brucella ceti,Zoonotic
Brucella suis,Zoonotic
Cetobacterium somerae,Zoonotic
Clostridium chauvoei,Zoonotic
Elizabethkingia meningoseptica,Zoonotic
Enterococcus hirae,Zoonotic
Mycobacterium pinnipedii,Zoonotic
Mycoplasma arginini,Zoonotic
Mycoplasma sturni,Not zoonotic
Rickettsia felis,Zoonotic
Serratia marcescens,Zoonotic
Streptococcus canis,Zoonotic
Streptococcus phocae,Not zoonotic
Bacillus cereus,Zoonotic
Devriesea agamarum,Not zoonotic
Mannheimia haemolytica,Zoonotic
Renibacterium salmoninarum,Not zoonotic
Shigella sonnei,Zoonotic
Staphylococcus delphini,Not zoonotic
Staphylococcus lentus,Zoonotic
Staphylococcus lugdunensis,Zoonotic
Streptococcus pluranimalium,Zoonotic
Vibrio alginolyticus,Zoonotic
Actinobacillus suis,Zoonotic
Arcanobacterium haemolyticum,Zoonotic
Arcobacter butzleri,Zoonotic
Bartonella elizabethae,Zoonotic
Borrelia crocidurae,Zoonotic
Borrelia hermsii,Zoonotic
Borreliella japonica,Zoonotic
Brachyspira aalborgi,Zoonotic
Brachyspira hyodysenteriae,Not zoonotic
Campylobacter coli,Zoonotic
Campylobacter iguaniorum,Not zoonotic
Chlamydia pecorum,Not zoonotic
Ehrlichia chaffeensis,Zoonotic
Enterococcus cecorum,Zoonotic
Hafnia alvei,Zoonotic
Klebsiella pneumoniae,Zoonotic
Morganella morganii,Zoonotic
Mycobacterium scrofulaceum,Zoonotic
Mycoplasma capricolum,Not zoonotic
Nocardia farcinica,Zoonotic
Pasteurella canis,Zoonotic
Proteus mirabilis,Zoonotic
Salmonella enterica subsp. salamae,Zoonotic
Staphylococcus epidermidis,Zoonotic
Staphylococcus hyicus,Zoonotic
Streptococcus equinus,Zoonotic
Streptococcus suis,Zoonotic
Acholeplasma laidlawii,Zoonotic
Acinetobacter lwoffii,Zoonotic
Actinobacillus lignieresii,Zoonotic
Actinomyces bovis,Zoonotic
Aerococcus viridans,Zoonotic
Anaplasma ovis,Not zoonotic
Bartonella rochalimae,Zoonotic
Borreliella garinii,Zoonotic
Brucella pinnipedialis,Zoonotic
Burkholderia mallei,Zoonotic
Campylobacter fetus,Zoonotic
Corynebacterium kutscheri,Zoonotic
Escherichia fergusonii,Zoonotic
Francisella noatunensis,Not zoonotic
Lawsonia intracellularis,Not zoonotic
Listeria innocua,Zoonotic
Listeria ivanovii,Zoonotic
Moraxella ovis,Not zoonotic
Mycobacterium interjectum,Zoonotic
Mycobacterium pseudoshottsii,Not zoonotic
Mycobacterium simiae,Zoonotic
Mycobacterium szulgai,Zoonotic
Mycoplasma mycoides,Not zoonotic
Mycoplasma ovis,Not zoonotic
Nocardia brasiliensis,Zoonotic
Nocardia otitidiscaviarum,Zoonotic
Pasteurella oralis,Zoonotic
Piscirickettsia salmonis,Not zoonotic
Pseudomonas fluorescens,Zoonotic
Rickettsia heilongjiangensis,Zoonotic
Rickettsia typhi,Zoonotic
Staphylococcus gallinarum,Zoonotic
Staphylococcus intermedius,Zoonotic
Staphylococcus simulans,Zoonotic
Vibrio ordalii,Not zoonotic
Vibrio parahaemolyticus,Zoonotic
Wohlfahrtiimonas chitiniclastica,Zoonotic
Actinomyces viscosus,Zoonotic
Aeromonas dhakensis,Zoonotic
Arcanobacterium pluranimalium,Not zoonotic
Arcobacter cryaerophilus,Zoonotic
Bacteroides fragilis,Zoonotic
Bartonella quintana,Zoonotic
Bartonella vinsonii,Zoonotic
Borreliella lusitaniae,Zoonotic
Campylobacter insulaenigrae,Zoonotic
Campylobacter lanienae,Zoonotic
Carnobacterium maltaromaticum,Zoonotic
Chlamydia caviae,Zoonotic
Clostridium tertium,Zoonotic
Corynebacterium diphtheriae,Zoonotic
Ehrlichia muris,Zoonotic
Enterococcus durans,Zoonotic
Flavobacterium branchiophilum,Not zoonotic
Gallibacterium anatis,Zoonotic
Histophilus somni,Not zoonotic
Lactobacillus spp,Zoonotic
Laribacter hongkongensis,Zoonotic
Moritella viscosa,Not zoonotic
Mycobacterium celatum,Zoonotic
Mycobacterium leprae,Zoonotic
Mycobacterium peregrinum,Zoonotic
Mycobacterium xenopi,Zoonotic
Mycoplasma lipofaciens,Zoonotic
Mycoplasma ovipneumoniae,Not zoonotic
Necropsobacter rosorum,Zoonotic
Nocardia nova,Zoonotic
Paeniclostridium sordellii,Zoonotic
Providencia heimbachae,Zoonotic
Providencia rettgeri,Zoonotic
Salmonella enterica subsp. houtenae,Zoonotic
Serratia liquefaciens,Zoonotic
Staphylococcus xylosus,Zoonotic
Treponema pallidum,Zoonotic
Vagococcus fluvialis,Zoonotic
Clostridium   colinum,Not zoonotic
Eubacterium   tortuosum,Zoonotic
Acholeplasma oculi,Zoonotic
Achromobacter xylosoxidans,Zoonotic
Acidaminococcus fermentans,Zoonotic
Actinomyces hyovaginalis,Not zoonotic
Aeromonas veronii,Zoonotic
Alcaligenes faecalis,Zoonotic
Arcobacter skirrowii,Zoonotic
Austwickia chelonae,Not zoonotic
Bartonella bovis,Not zoonotic
Bartonella queenslandensis,Not zoonotic
Bartonella rattaustraliani,Not zoonotic
Bartonella taylorii,Not zoonotic
Bibersteinia trehalosi,Not zoonotic
Borrelia anserina,Not zoonotic
Borrelia parkeri,Zoonotic
Campylobacter hyointestinalis,Zoonotic
Campylobacter lari,Zoonotic
Campylobacter sputorum,Zoonotic
Campylobacter ureolyticus,Zoonotic
Catellicoccus marimammalium,Not zoonotic
Clostridium fallax,Zoonotic
Clostridium novyi,Zoonotic
Corynebacterium bovis,Zoonotic
Corynebacterium falsenii,Zoonotic
Corynebacterium xerosis,Zoonotic
Enterococcus faecium,Zoonotic
Frederiksenia canicola,Zoonotic
Hathewaya limosa,Zoonotic
Helcococcus ovis,Not zoonotic
Helicobacter canadensis,Zoonotic
Helicobacter cetorum,Not zoonotic
Klebsiella oxytoca,Zoonotic
Kluyvera ascorbata,Zoonotic
Leptospira fainei,Zoonotic
Leptospira inadai,Zoonotic
Leptospira noguchii,Zoonotic
Moraxella cuniculi,Not zoonotic
Mycobacterium abscessus,Zoonotic
Mycobacterium asiaticum,Zoonotic
Mycobacterium haemophilum,Zoonotic
Mycobacterium smegmatis,Zoonotic
Mycoplasma agassizii,Not zoonotic
Mycoplasma conjunctivae,Not zoonotic
Mycoplasma felis,Zoonotic
Pantoea agglomerans,Zoonotic
Pasteurella stomatis,Zoonotic
Porphyromonas gingivalis,Zoonotic
Porphyromonas gulae,Not zoonotic
Proteus vulgaris,Zoonotic
Providencia alcalifaciens,Zoonotic
Providencia stuartii,Zoonotic
Pseudomonas putida,Zoonotic
Rickettsia akari,Zoonotic
Rickettsia helvetica,Zoonotic
Riemerella anatipestifer,Not zoonotic
Salmonella bongori,Zoonotic
Staphylococcus haemolyticus,Zoonotic
Staphylococcus pseudintermedius,Zoonotic
Streptococcus halichoeri,Zoonotic
Streptococcus pasteurianus,Zoonotic
Streptococcus pneumoniae,Zoonotic
Suttonella ornithocola,Not zoonotic
Tenacibaculum soleae,Not zoonotic
Vibrio vulnificus,Zoonotic
Volucribacter psittacicida,Not zoonotic
Yersinia mollaretii,Zoonotic
Yersinia rohdei,Zoonotic
 Clostridium   cocleatum,Zoonotic
 Pasteurella   aerogenes,Zoonotic
Acinetobacter calcoaceticus,Zoonotic
Actinobacillus capsulatus,Not zoonotic
Actinobacillus delphinicola,Not zoonotic
Actinomyces israelii,Zoonotic
Actinomyces marimammalium,Not zoonotic
Aeromonas allosaccharophila,Zoonotic
Aeromonas jandaei,Zoonotic
Aeromonas piscicola,Not zoonotic
Aggregatibacter actinomycetemcomitans,Zoonotic
Aliivibrio salmonicida,Not zoonotic
Anaplasma centrale,Not zoonotic
Anaplasma platys,Zoonotic
Avibacterium paragallinarum,Not zoonotic
Bacillus licheniformis,Zoonotic
Bacillus mycoides,Zoonotic
Bacillus subtilis,Zoonotic
Bacteroides heparinolyticus,Zoonotic
Bacteroides pyogenes,Zoonotic
Bartonella capreoli,Not zoonotic
Bartonella schoenbuchensis,Not zoonotic
Bartonella tribocorum,Not zoonotic
Bordetella hinzii,Zoonotic
Borrelia duttonii,Zoonotic
Borrelia hispanica,Zoonotic
Borreliella americana,Zoonotic
Borreliella bavariensis,Zoonotic
Borreliella valaisiana,Zoonotic
Brachyspira alvinipulli,Not zoonotic
Brachyspira murdochii,Not zoonotic
Brucella canis,Zoonotic
Brucella microti,Not zoonotic
Butyricimonas virosa,Zoonotic
Campylobacter subantarcticus,Not zoonotic
Capnocytophaga canimorsus,Zoonotic
Chlamydia felis,Zoonotic
Chlamydia gallinacea,Not zoonotic
Clostridium intestinale,Zoonotic
Coenonia anatina,Not zoonotic
Dichelobacter nodosus,Not zoonotic
Edwardsiella hoshinae,Zoonotic
Ehrlichia canis,Zoonotic
Eikenella corrodens,Zoonotic
Enterococcus faecalis,Zoonotic
Enterococcus gallinarum,Zoonotic
Enterococcus thailandicus,Zoonotic
Escherichia vulneris,Zoonotic
Fusobacterium nucleatum,Zoonotic
Gallibacterium salpingitidis,Not zoonotic
Globicatella sulfidifaciens,Not zoonotic
Helcococcus kunzii,Zoonotic
Helicobacter acinonychis,Not zoonotic
Helicobacter cinaedi,Zoonotic
Helicobacter heilmannii,Zoonotic
Leptospira licerasiae,Zoonotic
Leptospira santarosai,Zoonotic
Leptospira weilii,Zoonotic
Mannheimia granulomatis,Not zoonotic
Moellerella wisconsensis,Zoonotic
Moraxella bovis,Not zoonotic
Moraxella canis,Zoonotic
Moraxella lacunata,Zoonotic
Mycobacterium africanum,Zoonotic
Mycobacterium elephantis,Zoonotic
Mycobacterium goodii,Zoonotic
Mycobacterium lepraemurium,Not zoonotic
Mycoplasma agalactiae,Not zoonotic
Mycoplasma bovigenitalium,Not zoonotic
Mycoplasma gallinaceum,Not zoonotic
Mycoplasma haemofelis,Not zoonotic
Mycoplasma hominis,Zoonotic
Mycoplasma synoviae,Not zoonotic
Neorickettsia risticii,Not zoonotic
Nocardia africana,Zoonotic
Nocardia cyriacigeorgica,Zoonotic
Ochrobactrum anthropi,Zoonotic
Pasteurella caballi,Zoonotic
Pasteurella dagmatis,Zoonotic
Porphyromonas macacae,Zoonotic
Prevotella ruminicola,Zoonotic
Propionibacterium acnes,Zoonotic
Rickettsia japonica,Zoonotic
Robinsoniella peoriensis,Zoonotic
Shigella dysenteriae,Zoonotic
Staphylococcus chromogenes,Not zoonotic
Staphylococcus hominis,Zoonotic
Staphylococcus pasteuri,Zoonotic
Staphylococcus saprophyticus,Zoonotic
Staphylococcus warneri,Zoonotic
Streptococcus alactolyticus,Zoonotic
Streptococcus gallolyticus,Zoonotic
Streptococcus merionis,Zoonotic
Streptococcus minor,Zoonotic
Treponema pedis,Not zoonotic
Vagococcus salmoninarum,Not zoonotic
Vibrio ichthyoenteri,Not zoonotic
Vibrio mimicus,Zoonotic
Clostridium spiroforme,Zoonotic
Eubacterium brachy,Zoonotic
Pasteurella mairii,Not zoonotic
Acholeplasma equifetale,Not zoonotic
Acinetobacter beijerinckii,Zoonotic
Acinetobacter gandensis,Not zoonotic
Acinetobacter johnsonii,Zoonotic
Acinetobacter variabilis,Zoonotic
Actinobacillus pleuropneumoniae,Zoonotic
Actinobacillus ureae,Zoonotic
Actinomyces denticolens,Not zoonotic
Actinomyces meyeri,Zoonotic
Actinomyces naeslundii,Zoonotic
Aeromonas bestiarum,Zoonotic
Aeromonas encheleia,Zoonotic
Aeromonas schubertii,Zoonotic
Aeromonas simiae,Not zoonotic
Allisonella histaminiformans,Not zoonotic
Alysiella filiformis,Not zoonotic
Anaerobiospirillum succiniciproducens,Zoonotic
Anaerobiospirillum thomasii,Zoonotic
Anaeroplasma abactoclasticum,Not zoonotic
Anaerorhabdus furcosa,Zoonotic
