Taxon,GenomeType,Zoonotic
Newcastle disease virus,(-) ssRNA,Zoonotic
West Nile virus,(+) ssRNA,Zoonotic
Rabies lyssavirus,(-) ssRNA,Zoonotic
St. Louis encephalitis virus,(+) ssRNA,Zoonotic
Eastern equine encephalitis virus,(+) ssRNA,Zoonotic
Frog virus 3,dsDNA,Not zoonotic
Venezuelan equine encephalitis virus,(+) ssRNA,Zoonotic
Influenza A virus,(-) ssRNA,Zoonotic
Oncorhynchus 2 novirhabdovirus,(-) ssRNA,Not zoonotic
Beak and feather disease virus,ssDNA,Not zoonotic
Bluetongue virus,dsRNA,Not zoonotic
Tick-borne encephalitis virus,(+) ssRNA,Zoonotic
Cardiovirus A,(+) ssRNA,Zoonotic
Japanese encephalitis virus,(+) ssRNA,Zoonotic
Usutu virus,(+) ssRNA,Zoonotic
Redspotted grouper nervous necrosis virus,(+) ssRNA,Not zoonotic
Lymphocystis disease virus 1,dsDNA,Not zoonotic
Rotavirus A,dsRNA,Zoonotic
Simian foamy virus,ssRNA-RT,Zoonotic
California encephalitis orthobunyavirus,(-) ssRNA,Zoonotic
Infectious spleen and kidney necrosis virus,dsDNA,Not zoonotic
Bovine viral diarrhea virus 1,(+) ssRNA,Not zoonotic
Psittacid alphaherpesvirus 1,dsDNA,Not zoonotic
Canine distemper virus,(-) ssRNA,Not zoonotic
Cowpox virus,dsDNA,Zoonotic
Crimean-Congo hemorrhagic fever nairovirus,(-) ssRNA,Zoonotic
Orthohepevirus A,(+) ssRNA,Zoonotic
Avian coronavirus,(+) ssRNA,Not zoonotic
Foot-and-mouth disease virus,(+) ssRNA,Zoonotic
Highlands J virus,(+) ssRNA,Zoonotic
Psittaciform 1 bornavirus,(-) ssRNA,Not zoonotic
Fowlpox virus,dsDNA,Not zoonotic
Yellow fever virus,(+) ssRNA,Zoonotic
Infectious pancreatic necrosis virus,dsRNA,Not zoonotic
Rift Valley fever phlebovirus,(-) ssRNA,Zoonotic
Ross River virus,(+) ssRNA,Zoonotic
New Jersey vesiculovirus,(-) ssRNA,Zoonotic
Carnivore protoparvovirus 1,ssDNA,Not zoonotic
Ovine gammaherpesvirus 2,dsDNA,Not zoonotic
Monkeypox virus,dsDNA,Zoonotic
Western equine encephalitis virus,(+) ssRNA,Zoonotic
Akabane orthobunyavirus,(-) ssRNA,Not zoonotic
Bovine alphaherpesvirus 1,dsDNA,Not zoonotic
Dengue virus,(+) ssRNA,Zoonotic
Ilheus virus,(+) ssRNA,Zoonotic
Columbid alphaherpesvirus 1,dsDNA,Not zoonotic
Simian immunodeficiency virus,ssRNA-RT,Not zoonotic
Bovine parainfluenza virus 3,(-) ssRNA,Not zoonotic
Vesicular exanthema of swine virus,(+) ssRNA,Zoonotic
Bovine fever ephemerovirus,(-) ssRNA,Not zoonotic
Lymphocytic choriomeningitis mammarenavirus,(-) ssRNA,Zoonotic
Canarypox virus,dsDNA,Not zoonotic
Nipah virus,(-) ssRNA,Zoonotic
Infectious bursal disease virus,dsRNA,Not zoonotic
Bunyamwera orthobunyavirus,(-) ssRNA,Zoonotic
Colorado tick fever virus,dsRNA,Zoonotic
Sindbis virus,(+) ssRNA,Zoonotic
Andes hantavirus,(-) ssRNA,Zoonotic
Cetacean morbillivirus,(-) ssRNA,Not zoonotic
Primate T-lymphotropic virus 1,ssRNA-RT,Zoonotic
Alcelaphine gammaherpesvirus 1,dsDNA,Not zoonotic
Aves polyomavirus 1,dsDNA,Not zoonotic
Duck atadenovirus A,dsDNA,Not zoonotic
Kyasanur Forest disease virus,(+) ssRNA,Zoonotic
Fer-de-Lance paramyxovirus,(-) ssRNA,Not zoonotic
Mammalian 1 bornavirus,(-) ssRNA,Zoonotic
Mayaro virus,(+) ssRNA,Zoonotic
Avian metapneumovirus,(-) ssRNA,Not zoonotic
European bat 1 lyssavirus,(-) ssRNA,Zoonotic
Mammalian orthoreovirus,dsRNA,Zoonotic
Powassan virus,(+) ssRNA,Zoonotic
Whitewater Arroyo mammarenavirus,(-) ssRNA,Zoonotic
Hantaan hantavirus,(-) ssRNA,Zoonotic
Indiana vesiculovirus,(-) ssRNA,Zoonotic
Avian paramyxovirus 2,(-) ssRNA,Not zoonotic
Human picobirnavirus,dsRNA,Not zoonotic
Australian bat lyssavirus,(-) ssRNA,Zoonotic
Betacoronavirus 1,(+) ssRNA,Zoonotic
Chikungunya virus,(+) ssRNA,Zoonotic
Sin Nombre hantavirus,(-) ssRNA,Zoonotic
Tete orthobunyavirus,(-) ssRNA,Not zoonotic
Avian paramyxovirus 8,(-) ssRNA,Not zoonotic
Louping ill virus,(+) ssRNA,Zoonotic
Orf virus,dsDNA,Zoonotic
Severe acute respiratory syndrome-related coronavirus,(+) ssRNA,Zoonotic
Suid alphaherpesvirus 1,dsDNA,Zoonotic
Cyprinid herpesvirus 3,dsDNA,Not zoonotic
Hepatovirus A,(+) ssRNA,Zoonotic
Seoul hantavirus,(-) ssRNA,Zoonotic
Carp sprivivirus,(-) ssRNA,Not zoonotic
Murray Valley encephalitis virus,(+) ssRNA,Zoonotic
Phocine distemper virus,(-) ssRNA,Not zoonotic
Alphacoronavirus 1,(+) ssRNA,Not zoonotic
Avian orthoreovirus,dsRNA,Not zoonotic
Avian paramyxovirus 4,(-) ssRNA,Not zoonotic
Avian paramyxovirus 6,(-) ssRNA,Not zoonotic
Carnivore amdoparvovirus 1,ssDNA,Zoonotic
Feline immunodeficiency virus,ssRNA-RT,Not zoonotic
Feline leukemia virus,ssRNA-RT,Not zoonotic
Hendra virus,(-) ssRNA,Zoonotic
Rinderpest virus,(-) ssRNA,Not zoonotic
Waterbird 1 bornavirus,(-) ssRNA,Not zoonotic
Avian paramyxovirus 3,(-) ssRNA,Not zoonotic
Epizootic hemorrhagic disease virus,dsRNA,Not zoonotic
Equid alphaherpesvirus 1,dsDNA,Not zoonotic
Macacine alphaherpesvirus 1,dsDNA,Zoonotic
Measles virus,(-) ssRNA,Zoonotic
Puumala hantavirus,(-) ssRNA,Zoonotic
Reptilian orthoreovirus,dsRNA,Not zoonotic
Bovine respiratory syncytial virus,(-) ssRNA,Not zoonotic
Mucambo virus,(+) ssRNA,Zoonotic
African horse sickness virus,dsRNA,Not zoonotic
Anatid alphaherpesvirus 1,dsDNA,Not zoonotic
Anopheles B orthobunyavirus,(-) ssRNA,Zoonotic
Human alphaherpesvirus 1,dsDNA,Zoonotic
Lumpy skin disease virus,dsDNA,Not zoonotic
Murine coronavirus,(+) ssRNA,Not zoonotic
Peste-des-petits-ruminants virus,(-) ssRNA,Not zoonotic
Pike fry sprivivirus,(-) ssRNA,Not zoonotic
Reston ebolavirus,(-) ssRNA,Zoonotic
Rio Bravo virus,(+) ssRNA,Zoonotic
Santee-Cooper ranavirus,dsDNA,Not zoonotic
Zaire ebolavirus,(-) ssRNA,Zoonotic
Aichivirus A,(+) ssRNA,Zoonotic
Bohle iridovirus,dsDNA,Not zoonotic
Canine mastadenovirus A,dsDNA,Not zoonotic
Hepatitis B virus,dsDNA-RT,Zoonotic
Lagos bat lyssavirus,(-) ssRNA,Not zoonotic
Marituba orthobunyavirus,(-) ssRNA,Zoonotic
Una virus,(+) ssRNA,Zoonotic
Whataroa virus,(+) ssRNA,Zoonotic
Avian paramyxovirus 7,(-) ssRNA,Not zoonotic
Bimiti orthobunyavirus,(-) ssRNA,Zoonotic
Chiropteran dependoparvovirus 1,ssDNA,Not zoonotic
Dobrava-Belgrade hantavirus,(-) ssRNA,Zoonotic
Everglades virus,(+) ssRNA,Zoonotic
Gallid alphaherpesvirus 2,dsDNA,Zoonotic
Guama orthobunyavirus,(-) ssRNA,Zoonotic
Human gammaherpesvirus 4,dsDNA,Zoonotic
Macropodid alphaherpesvirus 1,dsDNA,Not zoonotic
Main Drain orthobunyavirus,(-) ssRNA,Not zoonotic
Manzanilla orthobunyavirus,(-) ssRNA,Zoonotic
Mason-Pfizer monkey virus,ssRNA-RT,Zoonotic
Oncorhynchus 1 novirhabdovirus,(-) ssRNA,Not zoonotic
Reticuloendotheliosis virus,ssRNA-RT,Not zoonotic
Tacaribe mammarenavirus,(-) ssRNA,Zoonotic
Wesselsbron virus,(+) ssRNA,Zoonotic
Caprine gammaherpesvirus 2,dsDNA,Not zoonotic
Chelonid alphaherpesvirus 6,dsDNA,Not zoonotic
Deltapapillomavirus 4,dsDNA,Not zoonotic
Enterovirus B,(+) ssRNA,Zoonotic
Lassa mammarenavirus,(-) ssRNA,Zoonotic
Phocid alphaherpesvirus 1,dsDNA,Not zoonotic
Phocid gammaherpesvirus 2,dsDNA,Not zoonotic
Qalyub nairovirus,(-) ssRNA,Not zoonotic
Sendai virus,(-) ssRNA,Not zoonotic
Shuni orthobunyavirus,(-) ssRNA,Zoonotic
Thiafora nairovirus,(-) ssRNA,Zoonotic
Tula hantavirus,(-) ssRNA,Zoonotic
Aquareovirus A,dsRNA,Not zoonotic
Avian paramyxovirus 9,(-) ssRNA,Not zoonotic
Cardiovirus B,(+) ssRNA,Zoonotic
Catu orthobunyavirus,(-) ssRNA,Zoonotic
Chandipura vesiculovirus,(-) ssRNA,Zoonotic
Enterovirus A,(+) ssRNA,Zoonotic
Equine torovirus,(+) ssRNA,Not zoonotic
Felid alphaherpesvirus 1,dsDNA,Not zoonotic
Great Island virus,dsRNA,Zoonotic
Hirame novirhabdovirus,(-) ssRNA,Not zoonotic
Junin mammarenavirus,(-) ssRNA,Zoonotic
Murid gammaherpesvirus 4,dsDNA,Not zoonotic
Murine pneumonia virus,(-) ssRNA,Zoonotic
Nelson Bay orthoreovirus,dsRNA,Zoonotic
Parainfluenza virus 5,(-) ssRNA,Zoonotic
Pegivirus A,(+) ssRNA,Zoonotic
Piscihepevirus A,(+) ssRNA,Not zoonotic
Primate T-lymphotropic virus 3,ssRNA-RT,Zoonotic
Snake atadenovirus A,dsDNA,Not zoonotic
Striped Jack nervous necrosis virus,(+) ssRNA,Not zoonotic
Vaccinia virus,dsDNA,Zoonotic
Aroa virus,(+) ssRNA,Zoonotic
Bat mastadenovirus A,dsDNA,Not zoonotic
Bovine gammaherpesvirus 4,dsDNA,Not zoonotic
Dhori virus,(-) ssRNA,Zoonotic
Enterovirus F,(+) ssRNA,Not zoonotic
Equid gammaherpesvirus 2,dsDNA,Not zoonotic
Equid gammaherpesvirus 5,dsDNA,Not zoonotic
Feline calicivirus,(+) ssRNA,Not zoonotic
Human gammaherpesvirus 8,dsDNA,Zoonotic
Mamastrovirus 17,(+) ssRNA,Not zoonotic
Marburg marburgvirus,(-) ssRNA,Zoonotic
Molluscum contagiosum virus,dsDNA,Zoonotic
Murid betaherpesvirus 2,dsDNA,Not zoonotic
Norwalk virus,(+) ssRNA,Zoonotic
Omsk hemorrhagic fever virus,(+) ssRNA,Zoonotic
Rio Mamore hantavirus,(-) ssRNA,Zoonotic
Sathuperi orthobunyavirus,(-) ssRNA,Not zoonotic
Semliki Forest virus,(+) ssRNA,Zoonotic
Squamate dependoparvovirus 1,ssDNA,Not zoonotic
Uukuniemi phlebovirus,(-) ssRNA,Zoonotic
Adeno-associated dependoparvovirus A,ssDNA,Zoonotic
Aichivirus B,(+) ssRNA,Not zoonotic
Aquareovirus C,dsRNA,Not zoonotic
Barmah Forest virus,(+) ssRNA,Zoonotic
Bayou hantavirus,(-) ssRNA,Zoonotic
Border disease virus,(+) ssRNA,Not zoonotic
Bovine viral diarrhea virus 2,(+) ssRNA,Not zoonotic
Caraparu orthobunyavirus,(-) ssRNA,Zoonotic
Cercopithecine alphaherpesvirus 9,dsDNA,Not zoonotic
Changuinola virus,dsRNA,Zoonotic
Chobar Gorge virus,dsRNA,Zoonotic
Enterovirus C,(+) ssRNA,Zoonotic
Enterovirus J,(+) ssRNA,Not zoonotic
Eyach virus,dsRNA,Zoonotic
Hepatitis C virus,(+) ssRNA,Zoonotic
Kotonkan ephemerovirus,(-) ssRNA,Zoonotic
Mamastrovirus 18,(+) ssRNA,Not zoonotic
Murid betaherpesvirus 1,dsDNA,Not zoonotic
Orthohepevirus C,(+) ssRNA,Not zoonotic
Parechovirus B,(+) ssRNA,Zoonotic
Rotavirus B,dsRNA,Zoonotic
SFTS phlebovirus,(-) ssRNA,Zoonotic
Shamonda orthobunyavirus,(-) ssRNA,Not zoonotic
Tembusu virus,(+) ssRNA,Zoonotic
Thogoto virus,(-) ssRNA,Zoonotic
Turlock orthobunyavirus,(-) ssRNA,Not zoonotic
African swine fever virus,dsDNA,Not zoonotic
Avastrovirus 2,(+) ssRNA,Not zoonotic
Bagaza virus,(+) ssRNA,Zoonotic
Bakau orthobunyavirus,(-) ssRNA,Zoonotic
Barfin flounder nervous necrosis virus,(+) ssRNA,Not zoonotic
Bat hepatitis virus,dsDNA-RT,Not zoonotic
Bat mastadenovirus B,dsDNA,Not zoonotic
Bovine leukemia virus,ssRNA-RT,Zoonotic
Corriparta virus,dsRNA,Zoonotic
